PQ,K,Quantization_time,Total_time
1, 100,  18.689941, 33.089111
1, 100,  18.584961, 34.370117
1, 100,  18.584961, 34.425049
1, 100,  19.277100, 35.056152
1, 100,  18.645996, 43.024902
1, 100,  24.733154, 46.901123
1, 100,  24.782959, 47.793945
1, 100,  24.400879, 48.356934
1, 100,  24.335205, 48.062988
1, 100,  25.110840, 48.619873
1, 100,  24.847168, 48.506104
1, 100,  25.478027, 49.344971
1, 100,  24.104980, 49.895020
1, 100,  25.547119, 50.118164
1, 100,  25.190918, 50.231934
1, 100,  25.058838, 50.245850
1, 100,  24.913086, 50.138916
1, 100,  25.021973, 50.233887
1, 100,  24.077881, 50.291016
1, 100,  24.849854, 50.461914
1, 100,  24.560059, 50.268066
1, 100,  25.152832, 50.675049
1, 100,  24.149170, 50.367188
1, 100,  25.216064, 50.813965
1, 100,  24.903076, 50.902100
1, 100,  25.332031, 50.868896
1, 100,  25.280029, 51.402832
1, 100,  24.114014, 51.661865
1, 100,  25.732910, 51.852051
1, 100,  25.135986, 51.947998
1, 100,  25.020996, 51.702148
1, 100,  25.636963, 52.184814
1, 100,  24.614990, 52.286133
1, 100,  24.791016, 52.607178
1, 100,  25.375000, 52.896973
1, 100,  24.991943, 52.989990
1, 100,  24.778809, 53.190918
1, 100,  25.308838, 53.052002
1, 100,  24.672119, 53.159180
1, 100,  25.061035, 53.346924
1, 100,  24.683838, 53.135986
1, 100,  24.588867, 53.501953
1, 100,  24.002930, 53.276855
1, 100,  24.094971, 53.341797
1, 100,  24.788086, 53.427002
1, 100,  23.918945, 53.419922
1, 100,  24.015869, 53.463867
1, 100,  24.565918, 53.539062
1, 100,  23.845947, 53.661865
1, 100,  24.022949, 53.849854
1, 100,  24.621094, 53.930176
1, 100,  24.175049, 53.691895
1, 100,  25.555908, 53.989014
1, 100,  24.232910, 53.791992
1, 100,  24.859863, 53.920898
1, 100,  24.421143, 54.206055
1, 100,  24.813965, 54.445068
1, 100,  24.156006, 54.348145
1, 100,  25.583008, 54.368164
1, 100,  24.189941, 54.574951
1, 100,  24.382812, 54.845947
1, 100,  25.432861, 54.677979
1, 100,  24.931152, 54.903076
1, 100,  25.258057, 55.135986
1, 100,  25.093994, 55.073975
1, 100,  23.896973, 55.197021
1, 100,  25.413086, 55.009033
1, 100,  24.371826, 54.900879
1, 100,  24.067139, 55.077148
1, 100,  24.707031, 55.297852
1, 100,  24.270020, 55.447998
1, 100,  25.006104, 55.314209
1, 100,  25.077881, 55.385010
1, 100,  24.453857, 55.522949
1, 100,  24.964111, 55.471191
1, 100,  24.078125, 55.445068
1, 100,  24.724121, 55.404053
1, 100,  25.290039, 55.845947
1, 100,  25.142090, 55.845947
1, 100,  25.460938, 56.177979
1, 100,  27.334961, 56.251953
1, 100,  25.116943, 56.651855
1, 100,  31.635986, 56.450928
1, 100,  25.359131, 56.789062
1, 100,  23.878906, 56.413086
1, 100,  24.783203, 56.715088
1, 100,  24.124023, 56.685059
1, 100,  34.364014, 56.772949
1, 100,  34.122070, 57.114014
1, 100,  28.015869, 57.439941
1, 100,  33.406982, 57.281982
1, 100,  24.196045, 57.626953
1, 100,  24.812988, 57.752930
1, 100,  32.854004, 57.991943
1, 100,  24.316895, 58.100098
1, 100,  25.007080, 58.315918
1, 100,  32.093994, 58.424805
1, 100,  24.058838, 58.202881
1, 100,  35.735840, 58.831787
1, 100,  25.251953, 58.864014
1, 100,  32.222900, 59.103027
1, 100,  31.739014, 59.765869
1, 100,  25.048096, 59.804932
1, 100,  36.014160, 60.182129
1, 100,  35.369873, 59.951904
1, 100,  36.240967, 60.262939
1, 100,  24.596924, 54.932861
1, 100,  38.772949, 61.005127
1, 100,  36.281006, 60.913818
1, 100,  35.166016, 61.361084
1, 100,  35.661865, 61.410889
1, 100,  39.613037, 62.420898
1, 100,  24.223145, 62.762207
1, 100,  25.072998, 61.063965
1, 100,  40.430908, 63.448975
1, 100,  24.445068, 63.803955
1, 100,  24.098145, 63.844971
1, 100,  24.113770, 63.882812
1, 100,  24.776855, 64.668945
1, 100,  31.951904, 65.151855
1, 100,  25.110107, 65.677002
1, 100,  24.483154, 66.308105
1, 100,  24.706055, 66.095947
1, 100,  24.628906, 66.235840
1, 100,  24.166016, 66.360840
1, 100,  24.245850, 66.447021
1, 100,  23.984863, 66.396973
1, 100,  24.872070, 66.895996
1, 100,  24.826904, 66.960938
1, 100,  24.357910, 66.980957
1, 100,  24.205078, 67.061035
1, 100,  35.314941, 67.433838
1, 100,  24.885010, 68.090088
1, 100,  40.115967, 68.265869
1, 100,  24.444092, 68.209961
1, 100,  24.171875, 68.152832
1, 100,  25.201904, 68.344971
1, 100,  24.803223, 68.447998
1, 100,  24.317871, 69.052002
1, 100,  40.469971, 68.968018
1, 100,  33.172852, 69.056885
1, 100,  24.759033, 69.334961
1, 100,  25.304932, 69.451904
1, 100,  24.005859, 70.014893
1, 100,  36.295898, 69.812988
1, 100,  24.338867, 70.192871
1, 100,  38.848877, 69.939941
1, 100,  35.435059, 70.051025
1, 100,  35.456055, 70.226074
1, 100,  33.645020, 70.652100
1, 100,  35.625977, 70.704834
1, 100,  25.313965, 70.728027
1, 100,  25.163086, 70.713867
1, 100,  32.632080, 70.882080
1, 100,  35.700928, 70.871826
1, 100,  35.980957, 70.667969
1, 100,  35.708008, 70.949951
1, 100,  36.083984, 70.932129
1, 100,  25.378174, 71.237061
1, 100,  34.686035, 71.003906
1, 100,  37.085205, 71.214111
1, 100,  32.662842, 71.899902
1, 100,  35.734131, 71.907959
1, 100,  24.403809, 72.056885
1, 100,  36.061035, 71.909912
1, 100,  25.144043, 72.134033
1, 100,  25.263916, 72.059082
1, 100,  25.020020, 72.176025
1, 100,  24.951904, 72.232910
1, 100,  25.605957, 72.689941
1, 100,  23.023926, 72.637939
1, 100,  24.102051, 72.738037
1, 100,  24.619873, 73.064941
1, 100,  31.448975, 73.109131
1, 100,  35.744873, 73.050049
1, 100,  48.793945, 73.741943
1, 100,  37.147949, 74.626953
1, 100,  35.097900, 74.551025
1, 100,  24.114990, 75.129883
1, 100,  24.760010, 75.249023
1, 100,  37.881104, 75.311035
1, 100,  47.239990, 75.954102
1, 100,  24.916992, 76.255859
1, 100,  35.585938, 76.317871
1, 100,  37.270996, 76.533203
1, 100,  25.413818, 76.672852
1, 100,  24.320801, 77.754883
1, 100,  41.430908, 78.345947
1, 100,  41.102051, 78.279053
1, 100,  44.687988, 79.808838
1, 100,  24.981934, 80.056885
1, 100,  24.228027, 84.079834
1, 100,  52.517822, 2536.340820
1, 100,  52.503906, 2545.956787
1, 100,  52.274902, 2548.387939
1, 100,  52.458984, 2548.657959
1, 100,  52.555908, 2595.830811
1, 100,  93.739014, 3666.384033
1, 100,  91.287842, 3681.404785
1, 100,  168.399902, 3744.032959
1, 100,  231.792236, 4449.733154
1, 100,  96.836914, 4882.350830
1, 100,  98.918945, 4887.020996
1, 100,  94.761963, 4902.561035
1, 100,  93.138916, 4907.411133
1, 100,  98.405029, 4914.556152
1, 100,  97.001953, 4917.100830
1, 100,  97.886963, 4927.070068
1, 100,  98.597900, 4932.950928
1, 100,  99.304932, 4935.804932
1, 100,  99.271973, 4937.656006
1, 100,  98.866943, 4941.967041
1, 100,  95.336182, 4964.189209
1, 100,  98.311035, 4969.004883
1, 100,  98.789795, 4990.814941
1, 100,  94.398926, 5007.654053
1, 100,  99.993896, 5012.068848
1, 100,  98.322998, 5016.507812
1, 100,  99.799805, 5062.355957
1, 100,  93.570068, 5064.252930
1, 100,  94.076904, 5095.728760
1, 100,  97.720947, 5096.743896
1, 100,  94.829834, 5100.576904
1, 100,  93.187988, 5115.617920
1, 100,  99.102783, 5129.206787
1, 100,  98.941895, 5154.321045
1, 100,  94.654053, 5160.695068
1, 100,  98.816162, 5168.331055
1, 100,  98.205078, 5174.030029
1, 100,  170.600830, 5178.137939
1, 100,  154.406982, 5210.905029
1, 100,  159.742920, 5216.255859
1, 100,  94.572998, 5237.823975
1, 100,  99.464844, 5241.964844
1, 100,  94.100098, 5257.718994
1, 100,  95.575928, 5323.515869
1, 100,  97.446045, 5322.492920
1, 100,  98.796875, 5336.104004
1, 100,  134.105957, 5367.043945
1, 100,  93.281006, 5368.552979
1, 100,  97.479004, 5379.708008
1, 100,  94.706787, 5380.443848
1, 100,  98.741943, 5398.392090
1, 100,  162.210938, 5440.720947
1, 100,  91.583008, 5447.825928
1, 100,  98.254883, 5490.729004
1, 100,  98.591064, 5513.958008
1, 100,  165.569824, 5517.562988
1, 100,  92.131104, 5523.969971
1, 100,  99.440918, 5523.359863
1, 100,  98.544922, 5524.898926
1, 100,  94.699951, 5529.611084
1, 100,  100.275879, 5535.918945
1, 100,  92.467041, 5593.474121
1, 100,  100.229980, 5609.297852
1, 100,  98.865967, 5621.083984
1, 100,  98.041016, 5622.953125
1, 100,  168.660889, 5629.364990
1, 100,  168.667969, 5630.146973
1, 100,  99.168945, 5632.877930
1, 100,  180.781006, 5635.749023
1, 100,  132.153076, 5640.068115
1, 100,  93.750000, 5655.999023
1, 100,  160.449951, 5657.359131
1, 100,  156.765869, 5701.770020
1, 100,  86.756104, 5755.136963
1, 100,  98.440918, 5758.535889
1, 100,  132.031006, 5769.866943
1, 100,  92.456055, 5768.041016
1, 100,  167.350098, 5769.239014
1, 100,  94.500977, 5807.797119
1, 100,  92.544922, 5814.322998
1, 100,  96.559082, 5815.390137
1, 100,  96.813965, 5824.990967
1, 100,  93.745117, 5828.434082
1, 100,  161.696045, 5831.489990
1, 100,  152.972168, 5845.659180
1, 100,  98.604980, 5846.299072
1, 100,  99.171875, 5855.395020
1, 100,  94.427002, 5858.177002
1, 100,  168.990967, 5858.870850
1, 100,  100.395020, 5890.497803
1, 100,  100.263916, 5894.476074
1, 100,  230.264893, 5905.405029
1, 100,  94.100098, 5908.526123
1, 100,  94.075195, 5923.189209
1, 100,  95.793213, 5922.978027
1, 100,  99.993164, 5923.249023
1, 100,  92.263916, 5934.574951
1, 100,  94.108154, 5939.093018
1, 100,  92.842041, 5938.098145
1, 100,  155.379883, 5953.483887
1, 100,  100.989014, 5960.345947
1, 100,  92.394043, 5964.615967
1, 100,  161.505859, 5966.658936
1, 100,  96.543945, 5968.876953
1, 100,  100.127930, 5971.696045
1, 100,  170.000000, 5980.376953
1, 100,  91.796875, 5986.412842
1, 100,  134.036133, 6004.373047
1, 100,  161.634033, 6011.190918
1, 100,  159.761230, 6018.418213
1, 100,  162.071777, 6061.114990
1, 100,  99.603027, 6064.625977
1, 100,  235.779053, 6078.521240
1, 100,  95.529053, 6079.658936
1, 100,  170.324951, 6085.144043
1, 100,  159.910889, 6084.284912
1, 100,  95.593994, 6119.156982
1, 100,  152.403076, 6122.300049
1, 100,  160.418945, 6133.898926
1, 100,  162.550049, 6155.653076
1, 100,  154.291016, 6207.227051
1, 100,  262.202148, 6213.249023
1, 100,  152.841064, 6220.819092
1, 100,  167.585938, 6226.286865
1, 100,  94.824951, 6227.586914
1, 100,  92.587158, 6230.322998
1, 100,  101.182861, 6236.415771
1, 100,  232.730957, 6239.986084
1, 100,  100.038086, 6244.498047
1, 100,  99.946045, 6253.078857
1, 100,  182.237061, 6255.406006
1, 100,  221.776855, 6265.151855
1, 100,  141.981934, 6277.598145
1, 100,  105.729004, 6294.662109
1, 100,  98.052979, 6296.035156
1, 100,  99.778809, 6302.375977
1, 100,  99.728027, 6310.067139
1, 100,  230.184082, 6309.715088
1, 100,  116.697021, 6323.079834
1, 100,  239.304932, 6364.076904
1, 100,  101.898926, 6371.318115
1, 100,  144.216064, 6386.563965
1, 100,  234.920898, 6396.566895
1, 100,  93.519043, 6412.139893
1, 100,  252.205811, 6421.264893
1, 100,  137.392090, 6427.964111
1, 100,  101.814941, 6435.068848
1, 100,  101.968018, 6436.493164
1, 100,  138.166016, 6455.321777
1, 100,  148.173096, 6492.570068
1, 100,  173.869873, 6496.803955
1, 100,  132.212891, 6499.229980
1, 100,  172.808838, 6501.738037
1, 100,  100.078125, 6504.146973
